  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      2.2356             462  0.0000      0.0000     0.93846     0.23335      63.578    
rho and Delta         20.000      1.5179            1440  0.0000      0.0000     0.46053     0.36071      3666.3    
Res dec               6.0000      3.2120           30534  0.0000      0.0000     0.87070     0.29231      19.692    
VM + stable in vac.   12.325      2.4996            2345  0.0000      23.028     0.93125     0.21667      4.1719    
NN -> NR              6.0000      1.2481             158  0.0000      0.0000     0.50968     0.39250      67.184    
NN -> DR              36.000      1.2153              13  0.0000      0.0000     0.80242     0.35262      693.46    
Default               4.0000      5.0284           43350 0.23068E-02 0.23068E-01 0.93827     0.26383      10.425    

           Total number of events:        78302
  Overall average number of steps:   81.626    
